reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion,emojis,combined,hf_sentiment,hf_sentiment_label
7cac83a0-1991-4307-a501-68564b303b24,Michael Oyiboka,it's so nice.and so easy to chat.and video chat with firends.(5*****)for this app.,5,0,unknown,2022-01-13 23:07:56,unknown,,it's so nice.and so easy to chat.and video chat with firends.(5*****)for this app. ,label_2,positive
cfb45d07-335a-40e2-bdde-56f1c915f216,Faith Dube,good,4,0,unknown,2022-01-22 16:21:00,unknown,,good ,label_2,positive
42b6e1d5-7163-4a65-be1f-01f3adc47c0a,PANKAJ SINGH,pankaj kumar patel,2,0,unknown,2022-01-22 14:30:34,unknown,,pankaj kumar patel ,label_1,neutral
022a7920-6b8e-4d18-acb3-fefd96c5d53e,Arnob Fahim,good,5,0,unknown,2022-01-29 16:13:43,unknown,,good ,label_2,positive
7e0818eb-e726-4a0c-ab86-c1ce1d88d3d0,Immanuel marcus,super zoom was amazing and useful for students online class and ect,5,0,unknown,2022-01-11 04:09:26,unknown,,super zoom was amazing and useful for students online class and ect ,label_2,positive
fd03577e-e323-4150-97d4-2c3d817f8809,Sunil Kumar,good app and is app ma koi bhi problem nhi hote hai very nice app,1,0,unknown,2022-01-07 13:17:51,unknown,,good app and is app ma koi bhi problem nhi hote hai very nice app ,label_2,positive
7f351d27-9987-48bb-9cd8-22a9f7448947,Sukha Sukhdeep,this is a nice app,4,0,unknown,2022-01-06 06:04:45,unknown,,this is a nice app ,label_2,positive
a99ac1ac-12e3-43a3-9110-e957a65e2d15,Pradeep Kumar,not bad,2,0,unknown,2022-01-15 03:34:44,unknown,,not bad ,label_2,positive
46fc7e8e-d873-456e-8ace-c5542f1b0808,Amanda Hodge,good for online school,5,0,5.9.1.3642,2022-01-08 23:17:41,5.9.1.3642,,good for online school ,label_2,positive
08ff288f-125a-4e1d-b37f-71b1aa8c12fb,katla ramesh,super app,5,0,5.9.3.4247,2022-01-29 05:40:36,5.9.3.4247,,super app ,label_2,positive
